"","Ensembl_ID","logFC","logCPM","LR","PValue","FDR"
"NBPF1","ENSG00000219481",-0.48233849224938,3.34007915730495,3.02735743864451,0.0818712579874596,0.155874504983664
"FTH1P8","ENSG00000219507",0.427093620253085,0.586828720914341,1.18720507748804,0.275894051052316,0.393176733554372
"UMAD1","ENSG00000219545",-0.680568783951863,1.98951657153679,5.14004036031413,0.023380104636588,0.0615672785811406
"FAM228B","ENSG00000219626",-0.628421707557022,3.93594922098489,4.26726631293712,0.0388533891352599,0.0897562089218642
"ZNF433-AS1","ENSG00000219665",-1.64694442108511,4.84452688298523,23.1664905019445,1.48563695249948e-06,4.65958301438681e-05
"RPL32P16","ENSG00000219747",0.635261027241331,1.18495678908053,4.66256968695686,0.0308270222837379,0.0753978688429958
"ZSCAN12P1","ENSG00000219891",-0.7015668889539,0.95992798557319,4.0047678409261,0.0453717452926817,0.10051275262013
".66","ENSG00000219928",0.99403563425252,3.37338443230089,4.07615573882015,0.0434925032017956,0.0974802636829171
"LINGO3","ENSG00000220008",-2.1242634337176,5.10109751792726,22.91973355018,1.6890887713363e-06,5.13551928885066e-05
"ZGLP1","ENSG00000220201",-0.0690806182222618,-0.205055682394746,0.0318587037222997,0.858338121979504,0.900501929956865
"VAMP2","ENSG00000220205",-0.195996913294196,7.67010499973878,0.529976980553386,0.466616537496311,0.582020527094779
"H2BC19P","ENSG00000220323",-0.833388821896918,2.90216772642351,6.53010911442732,0.0106063450439678,0.0342168316295002
"RPS3P4","ENSG00000220472",0.967905581885154,1.92509174415541,8.09871543762663,0.00442966410258941,0.0179183100191086
".67","ENSG00000220614",-0.0371492758908895,-1.63260922709771,0.00964483171949837,0.92176704739923,0.945958908324979
".68","ENSG00000220643",-1.3038274598482,0.184370725430077,9.43781494291844,0.00212556586906084,0.0105344911235091
"RPL21P28","ENSG00000220749",0.688604621337743,4.11615196515653,4.17641937380101,0.0409902149233116,0.0933892371811433
"MTMR9LP","ENSG00000220785",-1.38923328466794,1.67069197319382,10.1875613315347,0.00141391183749989,0.00782615477163316
"LINC01881","ENSG00000220804",-0.440840905448739,1.18062235641486,2.44080586311201,0.118215480230478,0.206325745869596
"RPL21P16","ENSG00000220842",0.739128261217572,4.94765645946388,2.11415867615253,0.145942237550126,0.242202335702398
"RPS18P9","ENSG00000220848",-1.01114597995442,3.24815446620619,12.2246949032462,0.000471611052160045,0.00347997100301157
"H3C9P","ENSG00000220875",0.733241842322555,-0.720182854814898,7.30859465336471,0.00686255759803665,0.0246892980187274
"SNORA11F","ENSG00000221164",-1.34813225773233,0.886774919625458,8.76500328092161,0.00307065524050163,0.0137418509381175
"PPP3CB-AS1","ENSG00000221817",-0.344394031312317,2.25013419549392,1.50466264011343,0.219955330038574,0.331868315855824
"C6orf226","ENSG00000221821",0.467544619216472,3.30516494000201,2.67687478071358,0.101815362361083,0.183898568171083
"PPP3R1","ENSG00000221823",-0.772031425995447,4.72222371277256,9.1789192662517,0.00244818542960058,0.0116639163831754
"AP4M1","ENSG00000221838",-0.489750339802222,3.37803242732679,4.12077390519487,0.0423596963695856,0.0956608695640574
"PLXNA4","ENSG00000221866",0.504924585665958,1.14756241397632,0.95152785786199,0.329330698942619,0.44946580733301
"CEBPD","ENSG00000221869",-0.139951525509426,2.59393848558818,0.0541020103364005,0.816073278780442,0.870383587864455
